Metric,XGBoost,AdaBoost,SVM,kNN,Random Forest,Logistische Regression
accuracy,0.9758064516129032,0.9596774193548387,0.9435483870967742,0.9758064516129032,0.9919354838709677,0.9354838709677419
precision,0.9411764705882353,0.9333333333333333,0.8235294117647058,0.8571428571428571,1.0,0.7777777777777778
recall,0.8888888888888888,0.7777777777777778,0.7777777777777778,1.0,0.9444444444444444,0.7777777777777778
f1,0.9142857142857143,0.8484848484848485,0.8,0.9230769230769231,0.9714285714285714,0.7777777777777778
f1_weighted,0.9755176218601934,0.9581258951101411,0.942874451007118,0.9765633347976302,0.9918392072867311,0.9354838709677419
roc_auc,0.986111111111111,0.9732704402515724,0.9669811320754716,0.9858490566037736,0.9661949685534591,0.9685534591194969
percent_diff_accuracy,2.380306961494277,4.0322580645161255,5.645161290322576,2.4193548387096753,0.8064516129032251,6.451612903225811
percent_diff_precision,5.882352941176472,6.666666666666665,17.647058823529417,14.28571428571429,0.0,22.22222222222222
percent_diff_recall,11.039943065563564,22.22222222222222,22.22222222222222,0.0,5.555555555555558,22.22222222222222
percent_diff_f1,8.53482786228983,15.151515151515149,19.999999999999996,7.692307692307687,2.857142857142858,22.22222222222222
percent_diff_f1_weighted,2.40920148833017,4.187410488985888,5.712554899288202,2.3436665202369755,0.8160792713268861,6.451612903225811
percent_diff_roc_auc,1.388762666505109,2.672955974842761,3.301886792452835,1.4150943396226356,3.38050314465409,3.1446540880503138
best_params,"{'clf__gamma': 0, 'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__n_estimators': 50}","{'clf__estimator': DecisionTreeClassifier(max_depth=2), 'clf__learning_rate': 0.5, 'clf__n_estimators': 21}","{'clf__C': 2, 'clf__kernel': 'linear'}","{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}","{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 10}","{'clf__C': 5, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
